Day,MJan,MFeb,MMar,MApr,MMay,MJun,MJul,MAug,MSep,MOct,MNov,MDec,mJan,mFeb,mMar,mApr,mMay,mJun,mJul,mAug,mSep,mOct,mNov,mDec
1,19.7,20.8,23.2,36.2,42.2,41.5,33.8,31.5,36.5,35.0,30.2,25.2,5.5,8.7,12.3,20.2,27.0,27.0,25.7,24.2,29.0,25.2,18.8,10.2
2,20.8,21.0,25.0,37.0,41.8,42.5,30.5,34.0,36.0,35.5,29.6,25.0,5.3,8.3,13.7,20.0,26.8,28.0,25.5,26.8,28.6,25.2,18.0,10.8
3,21.0,21.0,25.5,37.2,40.6,42.2,35.5,35.0,36.2,36.0,31.0,23.0,6.7,9.7,14.7,20.6,28.6,27.8,28.4,29.3,27.4,24.6,18.4,11.5
4,20.0,13.5,18.6,36.8,37.5,43.8,35.0,35.5,36.8,35.0,31.5,24.2,9.7,8.0,11.6,22.5,26.5,27.6,28.0,27.0,27.2,24.5,18.3,10.6
5,18.0,16.0,23.8,37.6,37.0,43.5,37.0,35.2,34.5,35.8,30.5,23.5,10.0,6.7,12.7,21.6,24.2,27.5,30.0,28.0,27.8,25.0,18.0,10.2
6,14.5,14.5,25.5,38.5,37.5,44.5,38.0,30.8,32.2,36.2,27.0,23.5,11.4,6.5,14.2,22.0,25.0,29.5,30.0,24.8,26.2,24.4,18.2,10.8
7,14.6,16.6,26.3,39.0,37.6,44.8,33.2,31.2,34.2,34.5,28.0,23.5,11.3,7.4,15.7,22.8,24.0,31.5,25.4,26.4,27.8,25.4,17.6,11.0
8,14.5,21.2,26.0,39.2,40.0,44.2,39.0,33.2,36.2,32.4,28.2,24.5,11.7,8.8,16.2,22.0,25.4,31.8,29.7,26.8,28.8,24.8,17.2,10.8
9,13.5,23.0,28.2,40.0,40.8,44.0,38.2,35.5,34.8,32.6,28.5,24.2,9.2,9.5,15.8,23.8,27.0,29.6,31.4,28.2,28.8,23.3,17.2,11.2
10,15.0,21.5,29.0,40.8,40.8,44.0,35.5,35.6,35.2,31.2,26.5,25.5,9.0,8.5,16.5,24.0,26.7,29.5,26.0,27.0,28.5,23.5,15.3,11.8
