    Day mJan    mFeb    mMar    mApr    mMay    mJun    mJul    mAug    mSep    mOct    mNov    mDec            
    1    5.5    8.7   12.3   20.2   27.0   27.0   25.7   24.2   29.0   25.2   18.8   10.2
    2    5.3    8.3   13.7   20.0   26.8   28.0   25.5   26.8   28.6   25.2   18.0   10.8
    3    6.7    9.7   14.7   20.6   28.6   27.8   28.4   29.3   27.4   24.6   18.4   11.5
    4    9.7    8.0   11.6   22.5   26.5   27.6   28.0   27.0   27.2   24.5   18.3   10.6
    5   10.0    6.7   12.7   21.6   24.2   27.5   30.0   28.0   27.8   25.0   18.0   10.2
    6   11.4    6.5   14.2   22.0   25.0   29.5   30.0   24.8   26.2   24.4   18.2   10.8
    7   11.3    7.4   15.7   22.8   24.0   31.5   25.4   26.4   27.8   25.4   17.6   11.0
    8   11.7    8.8   16.2   22.0   25.4   31.8   29.7   26.8   28.8   24.8   17.2   10.8
    9    9.2    9.5   15.8   23.8   27.0   29.6   31.4   28.2   28.8   23.3   17.2   11.2
   10    9.0    8.5   16.5   24.0   26.7   29.5   26.0   27.0   28.5   23.5   15.3   11.8
   11    7.7    8.3   15.8   23.5   28.3   31.0   28.5   29.4   27.8   21.6   15.6   10.5
   12    6.8    8.4   17.6   25.5   28.5   29.2   29.0   27.0   24.3   18.4   14.8   10.3
   13    8.2   10.0   18.0   26.2   28.0   29.4   29.4   28.6   25.5   20.8   15.0   12.3
   14    7.4   10.0   18.7   24.2   29.0   30.5   25.0   29.5   27.7   21.0   15.3   10.5
   15    8.0   10.0   20.2   22.8   27.3   30.5   23.6   26.5   27.8   21.2   13.8    9.8
   16    7.7   10.4   20.7   22.2   29.8   30.4   24.6   25.8   24.2   20.0   13.4   10.0
   17    8.2   11.4   21.4   22.6   28.2   22.6   25.4   27.5   26.2   19.4   13.5    8.2
   18    8.5   11.8   21.5   23.8   27.4   22.0   26.7   27.4   26.0   19.0   12.2    8.3
   19    8.4   10.0   21.5   28.0   27.8   22.5   29.5   27.2   27.4   19.5   11.6    8.2
   20    9.5   10.7   22.0   25.0   28.0   24.8   31.0   27.3   26.5   20.0   11.8    7.6
   21    9.8   11.0   22.4   25.8   27.2   21.2   23.0   26.0   26.3   17.5   11.0    6.2
   22    9.0   12.2   22.0   22.0   25.7   21.5   23.6   28.5   25.5   16.0   11.7    7.0
   23    9.8   12.0   19.7   24.2   24.5   24.0   25.7   28.5   25.0   16.0   10.8    7.2
   24    9.8   12.3   21.2   23.2   21.6   25.8   26.0   27.6   23.0   16.0   11.8    6.4
   25    8.0   13.2   20.8   25.2   22.2   26.5   27.5   26.5   23.0   16.5   10.5    6.0
   26    7.6   11.4   20.2   25.2   25.0   28.4   27.2   27.6   22.8   18.0   11.0    6.0
   27    6.4   10.2   20.0   24.5   28.2   30.0   27.5   27.0   24.7   17.2   10.0    5.0
   28    7.2   10.5   20.8   25.8   30.2   31.6   27.7   27.5   24.5   16.8    9.6    5.2
   29    6.7  ***     20.7   26.9   25.8   32.4   27.0   24.0   24.7   18.2    9.5    5.2
   30    7.8  ***     20.7   26.5   28.4   28.7   25.8   26.0   25.2   17.8    9.5    7.3
   31    8.5  ***     22.8  ***     26.3  ***     26.2   27.2  ***     18.8  ***      7.5
