    Day Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec                          
    1    7.8    8.0   16.0   14.5   21.5   19.6   28.2   29.2   29.4   22.0   19.4   12.2
    2    5.2    8.4   15.8   14.8   19.5   19.4   28.5   25.6   29.2   22.2   19.3   11.8
    3    4.2    9.7   15.6   15.5   18.9   21.4   30.4   27.2   27.4   21.8   19.0   11.4
    4    5.2   10.8   16.5   14.6   19.2   25.6   25.5   27.8   27.8   21.8   17.7   11.2
    5    5.0   11.2   16.5   16.5   18.4   25.8   23.0   25.6   26.0   21.2   16.6   11.0
    6    5.2   12.6   16.6   16.0   21.7   27.7   23.2   28.2   26.3   22.4   17.2   10.5
    7    6.2   11.2   16.0   17.8   19.2   22.2   24.0   28.0   27.6   23.7   18.0    9.8
    8    6.2   11.5   16.0   18.5   22.2   24.6   23.0   28.3   28.4   24.8   18.2    9.2
    9    6.6   11.5   16.2   18.8   21.4   28.4   23.5   28.8   26.3   25.4   17.2    8.8
   10    6.8   12.2   16.2   19.0   21.6   30.6   24.6   29.2   27.0   19.0   15.4    9.0
   11    9.0   11.8   16.2   21.0   22.5   24.0   25.6   28.4   26.8   19.8   13.8    9.0
   12    9.0    9.5   17.0   22.6   22.5   27.6   28.2   29.6   27.6   20.0   14.0    8.8
   13    9.0    9.0   17.5   22.8   26.8   31.2   26.0   29.2   28.4   20.2   13.7    8.5
   14    4.0    9.8   17.5   22.5   26.4   27.0   28.7   29.0   29.4   20.8   13.4    9.0
   15    4.2   11.2   19.0   22.5   24.5   20.4   29.6   26.6   26.6   17.6   13.7    8.7
   16    3.5   12.6   18.2   22.8   26.4   22.8   26.5   28.6   26.5   19.8   13.5    8.2
   17    3.7   13.2   16.0   23.0   26.5   26.3   27.7   29.5   26.4   16.2   13.0    8.0
   18    5.0   13.5   15.2   24.6   22.0   28.6   28.5   29.5   24.5   15.6   13.2    8.0
   19    7.5   14.0   16.0   21.8   23.5   24.2   28.4   29.7   23.2   16.8   12.8    8.0
   20    8.5   15.5   16.5   19.2   25.4   29.2   26.2   27.2   22.4   16.8   12.7    7.8
   21    7.5   14.2   14.6   18.0   26.4   31.0   29.0   29.6   26.0   17.0   12.5    7.5
   22    8.2   14.0   16.0   18.8   27.4   32.6   26.5   30.4   27.0   18.6   12.8    7.5
   23   10.5   13.5   16.2   18.5   31.6   33.4   24.5   30.4   21.8   18.6   11.3    9.3
   24    9.0   13.6   19.0   19.0   25.0   32.6   28.2   27.4   22.0   18.5   11.5    9.3
   25   10.4   14.3   13.5   20.5   22.5   31.4   26.2   28.3   22.8   17.5   11.3    9.0
   26    5.6   15.5   13.8   21.5   21.8   20.4   26.0   24.2   23.3   17.2   11.2    8.7
   27    5.8   14.8   15.5   22.7   22.3   22.8   25.3   27.0   22.8   17.8   11.8    9.4
   28    6.0   15.4   16.6   21.0   24.0   26.8   26.0   26.2   23.8   17.5   14.0    9.2
   29    7.8  ***     17.2   22.0   23.8   28.2   25.8   25.0   24.4   19.0   12.5    9.4
   30    8.0  ***     19.2   22.0   22.0   29.4   23.5   25.8   22.6   19.5   13.5    9.0
   31    9.0  ***     17.3  ***     20.2  ***     27.7   28.7  ***     19.6  ***      8.8
