longitude,latitude,no,no2,o3,co,so2,pm2_5,pm10,ch4,time,time_sin,time_cos
74.4,32,0.163638,4.333007,157.74948,506.704,6.8062387,96.633316,158.45811,1262.6068,2019-09-15 12:00:00,-3.216245299353273e-16,-1.0
74.4,32,0.09059278,29.213923,77.97474,1050.171,20.612677,127.90502,197.6446,1272.3113,2019-09-15 15:00:00,-0.7071067811865475,-0.7071067811865477
74.4,32,0.12130101,36.24777,42.51914,1303.3917,25.655373,139.54721,208.79817,1271.9192,2019-09-15 21:00:00,-0.7071067811865477,0.7071067811865474
74.4,32,0.08794671,32.903645,62.701187,1184.7583,25.765951,131.15398,199.12613,1271.3221,2019-09-15 18:00:00,-1.0,-1.8369701987210297e-16
74.4,32,0.13352163,5.1447906,155.53647,416.21497,11.157199,73.12488,123.20423,1261.731,2019-09-16 12:00:00,-3.216245299353273e-16,-1.0
74.4,32,0.12248478,27.649403,79.79236,879.1372,19.07253,89.340775,140.28748,1271.3672,2019-09-16 15:00:00,-0.7071067811865475,-0.7071067811865477
74.4,32,0.12032615,23.517221,61.901257,835.6877,14.790925,67.70546,105.22522,1270.4124,2019-09-16 18:00:00,-1.0,-1.8369701987210297e-16
74.4,32,0.16391653,25.390396,51.295357,870.20575,15.78278,62.623913,98.722885,1270.9475,2019-09-16 21:00:00,-0.7071067811865477,0.7071067811865474
74.4,32,0.057029583,28.234629,42.928993,1219.1971,16.584814,138.2049,208.21494,1271.6388,2019-09-16 00:00:00,0.0,1.0
74.4,32,0.7685415,9.877941,90.76784,815.4384,7.8874903,109.554665,167.6575,1268.5082,2019-09-16 03:00:00,0.7071067811865476,0.7071067811865475
74.4,32,0.3082139,3.8629951,164.2272,610.09625,8.584658,112.68851,179.15143,1263.4716,2019-09-16 06:00:00,1.0,-1.6081226496766366e-16
74.4,32,0.26464093,4.1872044,190.03143,566.062,9.475684,107.88381,177.36214,1261.8257,2019-09-16 09:00:00,0.7071067811865476,-0.7071067811865475
74.4,32,0.24117455,2.6692357,153.47116,423.57477,4.553175,76.930885,134.70067,1263.6494,2019-09-17 09:00:00,0.7071067811865476,-0.7071067811865475
74.4,32,1.4466295,76.687996,11.306968,2194.5088,38.72455,129.85068,189.62872,1274.0515,2019-09-17 21:00:00,-0.7071067811865477,0.7071067811865474
74.4,32,0.31905928,33.159477,31.274992,1054.1195,18.02902,72.074875,111.953735,1272.5223,2019-09-17 00:00:00,0.0,1.0
74.4,32,1.6426469,15.952523,87.39466,786.5084,10.859435,61.04665,101.3564,1268.5167,2019-09-17 03:00:00,0.7071067811865476,0.7071067811865475
74.4,32,0.20566162,2.8845248,146.80379,426.6269,4.698708,64.087326,112.797134,1262.7388,2019-09-17 06:00:00,1.0,-1.6081226496766366e-16
