longitude,latitude,no,no2,o3,co,so2,pm2_5,pm10,ch4,time,year,month,hour
74.4,32,39.61237,140.35399,0.29685852,5381.5557,30.285852,247.6528,354.19785,1296.4349,2022-01-01 00:00:00,2022,1,0
74.4,32,51.17183,163.56061,13.090831,6757.8496,30.696468,300.5095,429.87772,1297.5493,2022-01-01 03:00:00,2022,1,3
74.4,32,3.0251443,45.678574,254.03801,3432.96,27.548687,228.6922,327.45233,1293.3391,2022-01-01 06:00:00,2022,1,6
74.4,32,0.42058447,9.492493,242.06578,1428.4686,28.659836,120.63727,173.52902,1290.9463,2022-01-01 09:00:00,2022,1,9
74.4,32,0.5581796,48.096317,146.05879,1901.5903,24.761574,129.03796,184.73935,1295.363,2022-01-01 12:00:00,2022,1,12
74.4,32,0.4634785,62.3269,51.410374,2248.6812,15.464277,141.96312,203.48947,1296.0121,2022-01-01 15:00:00,2022,1,15
74.4,32,0.5906287,48.119072,31.721956,2205.376,11.216374,145.0125,207.51744,1296.8998,2022-01-01 18:00:00,2022,1,18
74.4,32,0.52586985,48.81641,13.865465,2379.2556,13.261641,175.83685,251.6854,1297.6788,2022-01-01 21:00:00,2022,1,21
74.4,32,1.1520115,38.24822,70.32184,892.44995,5.6484475,69.465195,101.02271,1290.9996,2022-01-02 12:00:00,2022,1,12
74.4,32,6.611114,73.01569,12.637309,1664.3497,8.22086,90.49146,130.89519,1294.1897,2022-01-02 15:00:00,2022,1,15
74.4,32,10.301534,67.20458,6.51704,1964.1771,9.375273,105.04099,151.5401,1295.6918,2022-01-02 18:00:00,2022,1,18
74.4,32,1.3247018,47.025745,13.044072,1557.7355,8.864096,106.05239,153.26154,1296.3114,2022-01-02 21:00:00,2022,1,21
74.4,32,1.014277,46.5322,6.7205896,2565.8635,14.675903,202.6986,290.18155,1297.6888,2022-01-02 00:00:00,2022,1,0
74.4,32,16.878529,71.40587,15.471624,3470.456,13.425557,220.3098,315.45953,1297.5469,2022-01-02 03:00:00,2022,1,3
74.4,32,1.6660436,14.520927,124.50282,1313.7489,7.9919405,109.65738,157.86763,1290.6882,2022-01-02 06:00:00,2022,1,6
74.4,32,0.4242054,4.165835,137.23918,499.042,7.960605,46.171078,67.60719,1282.6793,2022-01-02 09:00:00,2022,1,9
74.4,32,0.09915766,25.22272,23.581083,1235.4315,6.567536,97.03914,140.2067,1295.2834,2022-01-03 00:00:00,2022,1,0
74.4,32,13.042784,46.990856,12.22609,2054.8953,7.728518,124.96163,180.33046,1296.68,2022-01-03 03:00:00,2022,1,3
74.4,32,2.29511,19.402567,115.04519,1293.3164,9.234893,105.844185,153.35262,1291.8988,2022-01-03 06:00:00,2022,1,6
74.4,32,0.4655675,9.418518,149.78741,806.36926,15.575412,77.89092,113.4957,1286.7006,2022-01-03 09:00:00,2022,1,9
74.4,32,0.67070687,47.452663,69.12721,1366.4073,10.795006,101.35093,146.14001,1293.5032,2022-01-03 12:00:00,2022,1,12
74.4,32,0.6475887,52.28398,31.334133,1648.4154,7.296583,107.616455,155.09372,1294.712,2022-01-03 15:00:00,2022,1,15
74.4,32,0.20736763,28.713251,35.07995,1355.467,7.252366,102.02338,147.80702,1294.8824,2022-01-03 18:00:00,2022,1,18
74.4,32,0.052642692,14.345657,38.76678,924.68604,3.9059436,82.3017,120.150116,1294.0713,2022-01-03 21:00:00,2022,1,21
74.4,32,0.9993755,8.010907,104.721214,746.7579,6.7845006,77.555916,114.89253,1287.2664,2022-01-04 09:00:00,2022,1,9
74.4,32,0.121161744,22.059233,19.429064,1331.973,6.0174336,120.0559,176.41068,1296.7097,2022-01-04 00:00:00,2022,1,0
74.4,32,4.6230865,39.87214,9.128215,1697.9344,6.3224845,114.664764,165.90135,1295.0133,2022-01-04 03:00:00,2022,1,3
74.4,32,2.2538173,30.341103,45.893738,1463.822,9.682774,114.73091,167.234,1292.4114,2022-01-04 06:00:00,2022,1,6
74.4,32,1.2787439,37.07009,48.120968,997.95294,3.4074426,77.01747,111.979774,1292.034,2022-01-04 12:00:00,2022,1,12
74.4,32,0.9751432,44.486996,19.649336,1258.2378,2.7812889,76.25889,111.09265,1292.3655,2022-01-04 15:00:00,2022,1,15
74.4,32,3.9334395,55.1312,4.3082747,1753.7477,5.141262,96.640144,141.0164,1295.4215,2022-01-04 18:00:00,2022,1,18
74.4,32,0.14859723,36.936615,14.45188,1304.426,3.6840134,91.37967,134.5649,1293.6691,2022-01-04 21:00:00,2022,1,21
74.4,32,1.2045845,17.93383,54.776768,612.1873,5.547119,61.007378,88.46103,1283.2174,2022-01-05 09:00:00,2022,1,9
74.4,32,0.025764279,11.263866,52.133984,725.8597,6.400996,59.19542,84.77716,1286.0111,2022-01-05 21:00:00,2022,1,21
74.4,32,0.04150138,8.178431,40.9515,524.4354,1.8562938,55.28976,81.76162,1288.947,2022-01-05 00:00:00,2022,1,0
74.4,32,1.2655135,21.669878,28.893473,729.2006,2.655392,54.9566,80.50251,1288.4025,2022-01-05 03:00:00,2022,1,3
74.4,32,2.5116692,23.17732,34.364662,817.3773,3.1128821,65.47306,94.90586,1287.0403,2022-01-05 06:00:00,2022,1,6
74.4,32,0.75162065,27.226233,35.205055,655.13635,3.9168096,50.78585,72.21714,1284.7152,2022-01-05 12:00:00,2022,1,12
74.4,32,0.22394033,34.322693,36.804935,903.4546,7.571495,56.17849,79.91244,1287.0645,2022-01-05 15:00:00,2022,1,15
74.4,32,0.10152519,20.780106,53.47474,899.5499,8.30226,58.603397,83.711075,1285.1045,2022-01-05 18:00:00,2022,1,18
74.4,32,0.5151463,8.041881,79.80922,564.6537,8.560774,53.88954,79.68516,1280.2278,2022-01-06 09:00:00,2022,1,9
74.4,32,0.029385205,12.203914,50.028835,666.8528,4.1944246,64.54459,93.217705,1286.8872,2022-01-06 21:00:00,2022,1,21
74.4,32,0.025625013,6.8524404,51.748543,638.20465,5.0414553,62.327343,89.26585,1287.2823,2022-01-06 00:00:00,2022,1,0
74.4,32,0.68240523,15.385832,38.909916,761.18964,5.128136,58.368427,83.56903,1287.3643,2022-01-06 03:00:00,2022,1,3
74.4,32,1.3175992,13.93559,50.11189,669.0987,7.201325,58.5967,85.153175,1284.3812,2022-01-06 06:00:00,2022,1,6
74.4,32,1.0986724,25.62917,50.474117,833.4266,6.747956,68.720085,100.0051,1286.5522,2022-01-06 12:00:00,2022,1,12
74.4,32,9.523035,62.27537,2.4639008,1994.0414,7.082329,111.32888,160.66669,1294.4492,2022-01-06 15:00:00,2022,1,15
74.4,32,0.34510207,34.76785,28.739218,1301.3148,5.4511647,88.43071,127.82475,1289.1207,2022-01-06 18:00:00,2022,1,18
74.4,32,2.002929,18.857454,50.917797,788.9908,4.841735,70.18087,101.06689,1283.2323,2022-01-07 06:00:00,2022,1,6
74.4,32,0.013369572,10.990393,45.56167,722.73724,3.4344952,72.824684,105.263374,1290.9099,2022-01-07 00:00:00,2022,1,0
74.4,32,0.7657562,19.467781,42.81569,781.3723,2.4218075,63.334385,91.30667,1285.7084,2022-01-07 03:00:00,2022,1,3
74.4,32,0.8185381,13.402402,76.972084,663.1383,7.210586,62.358673,90.59338,1280.6019,2022-01-07 09:00:00,2022,1,9
