longitude,latitude,no,no2,o3,co,so2,pm2_5,pm10,ch4,time
74.4,31.6,0.6717862,21.06043,185.35883,756.60803,28.180563,103.5738,169.9189,1261.3373,2019-09-15 12:00:00
74.4,31.6,9.4252,89.48089,50.25972,1896.8214,87.344666,137.97678,213.24467,1270.2804,2019-09-15 15:00:00
74.4,31.6,20.037298,75.74162,17.080185,1935.4694,80.5876,138.49721,208.8199,1271.0068,2019-09-15 21:00:00
74.4,31.6,11.730964,80.93188,30.109703,1844.9746,79.791275,133.86716,203.91411,1270.0587,2019-09-15 18:00:00
74.4,31.6,0.4894865,18.357828,183.08147,655.3699,27.24525,93.19887,154.38347,1260.9283,2019-09-16 12:00:00
74.4,31.6,71.74419,109.88599,48.471348,3242.7349,190.18968,156.87549,242.14162,1272.2993,2019-09-16 15:00:00
74.4,31.6,3.4531097,73.1622,34.076534,1507.5176,62.454285,82.764404,124.69466,1269.5344,2019-09-16 18:00:00
74.4,31.6,8.101403,64.120026,22.094645,1444.313,58.895752,68.22549,102.97831,1270.5654,2019-09-16 21:00:00
74.4,31.6,62.996937,70.24565,11.011367,2722.6233,126.326996,169.73146,254.62712,1273.0757,2019-09-16 00:00:00
74.4,31.6,9.898218,49.694042,61.744026,1527.4795,49.94858,141.25002,211.20581,1269.7136,2019-09-16 03:00:00
74.4,31.6,1.0266196,12.119123,192.88231,781.209,23.434074,120.60134,190.1209,1262.6031,2019-09-16 06:00:00
74.4,31.6,0.5407365,9.540673,231.50781,687.56464,20.501125,115.88522,189.69278,1260.6857,2019-09-16 09:00:00
74.4,31.6,0.45501807,10.644813,155.40292,543.90985,14.275779,94.479706,176.77972,1263.0233,2019-09-17 09:00:00
74.4,31.6,74.360306,104.500084,10.405845,3550.6335,131.8595,130.90472,190.4348,1272.3787,2019-09-17 21:00:00
74.4,31.6,27.268984,64.4879,12.641639,1865.4208,75.80006,81.68419,121.98704,1272.0574,2019-09-17 00:00:00
74.4,31.6,5.9760594,38.59522,74.47966,1119.1791,36.201736,64.82432,102.26692,1268.1909,2019-09-17 03:00:00
