Avg_Jan_R,Avg_Feb_R,Avg_Mar_R,Avg_Apr_R,Avg_Jun_R,Avg_Jul_R,Avg_Aug_R,Avg_Sep_R,Avg_Oct_R,Avg_Nov_R,Avg_Dec_R
12.6,14.75,17.75,28.200000000000003,34.25,29.75,27.85,32.75,30.1,24.5,17.7
12.6,14.75,17.75,28.200000000000003,34.25,29.75,27.85,32.75,30.1,24.5,17.7
12.6,14.75,17.75,28.200000000000003,34.25,29.75,27.85,32.75,30.1,24.5,17.7
12.6,14.75,17.75,28.200000000000003,34.25,29.75,27.85,32.75,30.1,24.5,17.7
12.6,14.75,17.75,28.200000000000003,34.25,29.75,27.85,32.75,30.1,24.5,17.7
12.6,14.75,17.75,28.200000000000003,34.25,29.75,27.85,32.75,30.1,24.5,17.7
12.6,14.75,17.75,28.200000000000003,34.25,29.75,27.85,32.75,30.1,24.5,17.7
12.6,14.75,17.75,28.200000000000003,34.25,29.75,27.85,32.75,30.1,24.5,17.7
13.05,14.65,19.35,28.5,35.25,28.0,30.4,32.3,30.35,23.8,17.9
13.05,14.65,19.35,28.5,35.25,28.0,30.4,32.3,30.35,23.8,17.9
13.05,14.65,19.35,28.5,35.25,28.0,30.4,32.3,30.35,23.8,17.9
13.05,14.65,19.35,28.5,35.25,28.0,30.4,32.3,30.35,23.8,17.9
13.05,14.65,19.35,28.5,35.25,28.0,30.4,32.3,30.35,23.8,17.9
13.05,14.65,19.35,28.5,35.25,28.0,30.4,32.3,30.35,23.8,17.9
13.05,14.65,19.35,28.5,35.25,28.0,30.4,32.3,30.35,23.8,17.9
13.05,14.65,19.35,28.5,35.25,28.0,30.4,32.3,30.35,23.8,17.9
13.85,15.35,20.1,28.9,35.0,31.95,32.15,31.8,30.3,24.7,17.25
13.85,15.35,20.1,28.9,35.0,31.95,32.15,31.8,30.3,24.7,17.25
13.85,15.35,20.1,28.9,35.0,31.95,32.15,31.8,30.3,24.7,17.25
13.85,15.35,20.1,28.9,35.0,31.95,32.15,31.8,30.3,24.7,17.25
