longitude,latitude,no,no2,o3,co,so2,pm2_5,pm10,ch4,time,year,month,avg_temp,date_time_sin,date_time_cos,date,time_of_day,time_sin,time_cos
74.4,32,0.5372897,13.644447,190.56068,1481.9227,23.95521,98.37398,141.89629,1294.2517,2025-01-24 09:00:00,2023,1,14.15,0.7071067811865476,-0.7071067811865475,2023-01-01,09:00:00,0.7071067811865476,-0.7071067811865475
74.4,32,22.129288,121.68597,0.44251892,5650.8984,18.960316,252.98062,362.60092,1299.868,2025-01-24 21:00:00,2023,1,14.15,-0.7071067811865477,0.7071067811865474,2023-01-01,21:00:00,-0.7071067811865477,0.7071067811865474
74.4,32,15.678887,77.32161,2.8207831,3141.2126,18.916355,180.34543,258.56195,1298.9286,2025-01-24 00:00:00,2023,1,14.15,0.0,1.0,2023-01-01,00:00:00,0.0,1.0
74.4,32,35.419758,100.951744,14.17951,4363.4106,19.402382,220.56424,316.3976,1299.8698,2025-01-24 03:00:00,2023,1,14.15,0.7071067811865476,0.7071067811865475,2023-01-01,03:00:00,0.7071067811865476,0.7071067811865475
74.4,32,2.8939552,34.73604,151.61072,2264.7935,13.675749,140.8841,203.06459,1296.8658,2025-01-24 06:00:00,2023,1,14.15,1.0,-1.6081226496766366e-16,2023-01-01,06:00:00,1.0,-1.6081226496766366e-16
74.4,32,0.92055076,54.303593,122.20219,2211.9897,26.5015,117.41353,168.68974,1297.9486,2025-01-24 12:00:00,2023,1,14.15,-3.216245299353273e-16,-1.0,2023-01-01,12:00:00,-3.216245299353273e-16,-1.0
74.4,32,22.832722,144.48827,7.022089,4682.418,27.028645,203.21739,291.4302,1299.8671,2025-01-24 15:00:00,2023,1,14.15,-0.7071067811865475,-0.7071067811865477,2023-01-01,15:00:00,-0.7071067811865475,-0.7071067811865477
74.4,32,32.463272,138.49721,0.12809025,5801.7085,22.899815,249.2231,357.24222,1299.8966,2025-01-24 18:00:00,2023,1,14.15,-1.0,-1.8369701987210292e-16,2023-01-01,18:00:00,-1.0,-1.8369701987210297e-16
74.4,32,0.4005301,6.4355,222.94136,1419.1654,37.181545,100.52257,144.62679,1292.526,2025-01-24 09:00:00,2023,1,12.1,0.7071067811865476,-0.7071067811865475,2023-01-02,09:00:00,0.7071067811865476,-0.7071067811865475
74.4,32,45.734383,161.50284,6.562371,6770.3125,33.450462,276.14224,395.12906,1299.5482,2025-01-24 21:00:00,2023,1,12.1,-0.7071067811865477,0.7071067811865474,2023-01-02,21:00:00,-0.7071067811865477,0.7071067811865474
